dataset_id,language_code,languages_in_dataset,linguality,license,modalities,tasks,provenance,synthetic_flag,arxiv_ids,doi_ids,num_examples,matched_configurations,all_configurations,all_configurations_count,manual_review
google/smol,aa,aa;ab;abq;ace;ach;ady;aeb;af;ahr;aii;ak;alz;am;apc;apd;ar;arn;arz;as;av;awa;ay;ayl;ba;bal;ban;bbc;bci;bem;ber;bew;bfq;bfy;bgq;bho;bik;bjn;bm;bn;bns;bo;br;bra;brh;brx;bts;btx;bua;bug;ccp;ce;cgg;ch;chk;mhr;ckb;cnh;crh;crs;ctg;cv;dhd;din;dje;doi;dov;dv;dyu;dz;ee;efi;en;es;fa;ff;fil;fj;fo;fon;fr;fuc;fur;gaa;glk;gn;gom;grt;gu;gv;ha;hac;hi;hil;hne;hoc;hrx;iba;id;ig;ilo;is;iso;iu;ja;jam;jdt;kaa;kac;kbd;kek;kfy;kg;kha;ki;kl;km;kn;ko;kr;kri;kru;ks;ktu;kv;lep;lg;li;lif;lij;lmo;ln;ltg;lu;lua;luo;lus;mad;mag;mai;mak;mam;meo;mfe;mg;mh;min;mjl;ml;mni;mos;mr;ms;mtr;mwr;my;nd;ndc;ne;new;nhe;noe;nr;nso;nus;nv;ny;oc;om;os;pa;pag;pam;pap;pcm;ps;pt;qu;quc;rhg;rn;rom;ru;rw;sa;sah;sat;scn;sd;se;sg;sgj;shn;si;sjp;skr;sn;so;spv;ss;st;sus;sw;syl;szl;ta;tcy;te;tet;th;ti;tiv;tn;to;tpi;trp;ts;tum;ty;tyv;udm;unr;ur;ve;vec;war;wbr;wo;xh;xnr;xsr;yo;yua;yue;zap;zh;zu;zza,multilingual,cc-by-4.0,modality_unstated,translation,unclear,False,2502.12301;2303.15265,,,smolsent__en_aa;smoldoc__en_aa;gatitos__en_aa,smolsent__en_chn;smolsent__ru_ce;smolsent__en_es;smolsent__en_dje;smolsent__en_hac;smolsent__en_glk;smolsent__en_ckb;smolsent__en_is;smolsent__en_qu;smolsent__en_lij;smolsent__en_ay;smolsent__en_gn;smolsent__en_bo;smolsent__en_brx;smolsent__en_pa-Arab;smolsent__en_sat;smolsent__en_sat-Latn;smolsent__en_fuc;smolsent__en_ff;smolsent__en_sa ...(423 total),423,
sgme94/hssecu,aa,aa,monolingual,apache-2.0,text,text-classification,unclear,False,,,,,,,
songkaiz/xiaosong,aa,aa,monolingual,apache-2.0,modality_unstated,question-answering,unclear,False,,,,,,,
jiayi12138/my_spectrum,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
Okkarkyaw/okk,aa,aa,monolingual,apache-2.0,text,question-answering,unclear,False,,,,,,,
swpdd/222,aa,aa,monolingual,apache-2.0,modality_unstated,token-classification,unclear,False,,,,,,,
Xiangxiaobei/test2,aa,aa,monolingual,apache-2.0,text,question-answering,unclear,False,,,,,,,
heweiwei/weiwei,aa,aa,monolingual,apache-2.0,text,text-classification,unclear,False,,,,,,,
buttlefly/b2,aa,aa,monolingual,apache-2.0,image;text,token-classification,unclear,False,,,,,,,
Thegame1161/a-dataset,aa,aa,monolingual,apache-2.0,text,,unclear,False,,,,,,,
NODE-YOU/test-1,aa,aa,monolingual,apache-2.0,tabular;text,text-classification,unclear,False,,,,,,,
banxiangao/run_test_demo,aa,aa,monolingual,apache-2.0,modality_unstated,summarization,unclear,False,,,,,,,
omarkamali/wikipedia-monthly,aa,ab;ace;ady;af;ak;als;alt;am;ami;an;ang;ann;anp;ar;arc;ary;arz;as;ast;atj;av;avk;awa;ay;az;azb;ba;ban;bar;bbc;bcl;bdr;be;bew;bg;bh;bi;bjn;blk;bm;bn;bo;bpy;br;bs;btm;bug;bxr;ca;cdo;ce;ceb;ch;cho;chr;chy;ckb;co;cr;crh;cs;csb;cu;cv;cy;da;dag;de;dga;din;diq;dsb;dtp;dty;dv;dz;ee;el;eml;en;eo;es;et;eu;ext;fa;fat;ff;fi;fj;fo;fon;fr;frp;frr;fur;fy;ga;gag;gan;gcr;gd;gl;glk;gn;gom;gor;got;gpe;gu;guc;gur;guw;gv;ha;hak;haw;he;hi;hif;ho;hr;hsb;ht;hu;hy;hyw;ia;iba;id;ie;ig;igl;ii;ik;ilo;inh;io;is;it;iu;ja;jam;jbo;jv;ka;kaa;kab;kbd;kbp;kcg;kg;kge;ki;kj;kk;kl;km;kn;knc;ko;koi;krc;ks;ksh;ku;kus;kv;kw;ky;la;lad;lb;lbe;lez;lfn;lg;li;lij;lld;lmo;ln;lo;lrc;lt;ltg;lv;mad;mai;mdf;mg;mh;mhr;mi;min;mk;ml;mn;mni;mnw;mos;mr;mrj;ms;mt;mus;mwl;my;myv;mzn;nah;nap;nds;ne;new;ng;nia;nl;nn;no;nov;nqo;nr;nrm;nso;nup;nv;ny;oc;olo;om;or;os;pa;pag;pam;pap;pcd;pcm;pdc;pfl;pi;pih;pl;pms;pnb;pnt;ps;pt;pwn;qu;rm;rmy;rn;ro;rsk;ru;rue;rw;sa;sah;sat;sc;scn;sco;sd;se;sg;sh;shi;shn;si;sk;skr;sl;sm;smn;sn;so;sq;sr;srn;ss;st;stq;su;sv;sw;syl;szl;szy;ta;tay;tcy;tdd;te;tet;tg;th;ti;tig;tk;tl;tly;tn;to;tpi;tr;trv;ts;tt;tum;tw;ty;tyv;udm;ug;uk;ur;uz;ve;vec;vep;vi;vls;vo;wa;war;wo;wuu;xal;xh;xmf;yi;yo;za;zea;zgh;zh;zu;rki;aa;gsw;hz;kr;lzh;na;nan;rup;sgs;tok;vro;yue;kaj;ppl;kai,multilingual,cc-by-sa-4.0,text,text-generation,unclear,False,,10.57967/hf/6575,,20260101.aa;20260301.aa;latest.aa,20260101.en;20260101.de;20260101.es;20260101.fr;20260101.ceb;20260101.el;20260101.he;20260101.hu;20260101.ko;20260101.nl;20260101.pl;20260101.pt;20260101.sr;20260101.sv;20260101.tr;20260101.uk;20260101.vi;20260101.zh;20260101.th;20260101.ar ...(1082 total),1082,
Xin17/ACT-2025.07.16,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
cher0511/chatdata,aa,aa,monolingual,bsl-1.0,modality_unstated,,unclear,False,,,,,,,
Tim121845556/Online,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
davi1218/online,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification,unclear,False,,,,,,,
balkishanavahja/Onlinw,aa,aa,monolingual,cc-by-2.5,modality_unstated,zero-shot-classification,unclear,False,,,,,,,
johanhan/neo4jcyphertransit,aa,aa,monolingual,apache-2.0,text,,unclear,False,,,,,,,
jusmin313333/test0903,aa,aa,monolingual,mit,modality_unstated,,unclear,False,,,,,,,
lifuguan/InsScene-15K,aa,aa,monolingual,apache-2.0,modality_unstated,,unclear,False,2510.22706,,,,,,
K4v8n/kr,aa,aa,monolingual,openrail,modality_unstated,question-answering,unclear,False,,,,,,,
K4v8n/KSIM,aa,aa,monolingual,mit,modality_unstated,translation,unclear,False,,,,,,,
jaehyeono/Flickr_sd3_fake,aa,aa,monolingual,mit,image;text,feature-extraction,unclear,False,,,,,,,
Jiang-01-dexiang/data22,aa,aa,monolingual,apache-2.0,modality_unstated,,unclear,False,,,,,,,
Jiang-01-dexiang/ereea,aa,aa,monolingual,apache-2.0,modality_unstated,text-classification;text-generation,unclear,False,,,,,,,
Charif-Ayfarah/Afar-language-text-to-speech-TTS,aa,aa,monolingual,cc-by-4.0,modality_unstated,text-to-speech;automatic-speech-recognition,unclear,False,,,,,,,
