dataset_id,hf_language_tag,total_config_count,configs_sample,exact_match,script_suffixed_matches,has_per_language_config,likely_single_default_config
facebook/omnilingual-asr-corpus,aae,349,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab,False,aae_Latn,True,False
Sellopale/omnilingualpaleoi,aae,349,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab,False,aae_Latn,True,False
lindonghello/omnilingual-asr-corpus,aae,349,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab,False,aae_Latn,True,False
KathleenKunLiu/omnilingual-asr-corpus,aae,349,default;aae_Latn;aal_Latn;aao_Arab;abn_Latn;abr_Latn;abs_Latn;abv_Arab;acm_Arab;acw_Arab;acx_Arab;adf_Arab;aeb_Arab;aec_Arab;afb_Arab,False,aae_Latn,True,False
lbourdois/language_tags,aaf,1,language,False,,False,False
espnet/mms_ulab_v2,aaf,1,default,False,,False,True
amine-khelif/mms_ulab_v2,aaf,1,default,False,,False,True
coml/mmsulab,aaf,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aaf,1,default,False,,False,True
lbourdois/language_tags,aag,1,language,False,,False,False
lbourdois/panlex,aag,1,panlex,False,,False,True
ec5ug/chikhapo,aag,5506,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng,False,aag_eng,True,False
lbourdois/language_tags,aah,1,language,False,,False,False
HuggingFaceFW/fineweb-2,aai,1870,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abi_Latn;abk_Cyrl;abn_Latn;abq_Cyrl;abs_Latn;abt_Latn;abx_Latn;aby_Latn;abz_Latn;aca_Latn,False,aai_Latn,True,False
HuggingFaceFW/finepdfs,aai,1733,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn,False,aai_Latn,True,False
lbourdois/language_tags,aai,1,language,False,,False,False
lbourdois/panlex,aai,1,panlex,False,,False,True
davidstap/biblenlp-corpus-mmteb,aai,828,eng-aai;eng-aak;eng-aau;eng-aaz;eng-abt;eng-abx;eng-aby;eng-acf;eng-acr;eng-acu;eng-adz;eng-aer;eng-aey;eng-agd;eng-agg,False,,False,False
mteb/biblenlp-corpus-mmteb,aai,829,default;eng_Latn-zac_Latn;eng_Latn-lit_Latn;eng_Latn-cgc_Latn;eng_Latn-guh_Latn;eng_Latn-ckb_Arab;eng_Latn-cop_Copt;eng_Latn-lif_Deva;eng_Latn-cwe_Latn;eng_Latn-kwj_Latn;eng_Latn-srp_Latn;eng_Latn-qvn_Latn;eng_Latn-tsw_Latn;eng_Latn-wro_Latn;eng_Latn-tod_Latn,False,,False,False
pei39/Taxi1500-RawData-test,aai,960,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn,False,aai_Latn,True,False
cis-lmu/Taxi1500-RawData,aai,960,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn,False,aai_Latn,True,False
espnet/mms_ulab_v2,aai,1,default,False,,False,True
openbmb/DCAD-2000,aai,2262,tha_Thai;aze_Latn;arb_Arab;slv_Latn;cat_Latn;fin_Latn;hbs_Latn;ces_Latn;fil_Latn;guj_Gujr;nob_Latn;mal_Mlym;bul_Cyrl;kan_Knda;hin_Deva,False,aai_Latn,True,False
KefranAbg/finepdfs,aai,1733,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn,False,aai_Latn,True,False
caoyuji/fineweb-2,aai,1870,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abi_Latn;abk_Cyrl;abn_Latn;abq_Cyrl;abs_Latn;abt_Latn;abx_Latn;aby_Latn;abz_Latn;aca_Latn,False,aai_Latn,True,False
lgi2p/finefreq,aai,1,default,False,,False,True
mteb/biblenlp-corpus,aai,828,eng-aai;eng-aak;eng-aau;eng-aaz;eng-abt;eng-abx;eng-aby;eng-acf;eng-acr;eng-acu;eng-adz;eng-aer;eng-aey;eng-agd;eng-agg,False,,False,False
amine-khelif/mms_ulab_v2,aai,1,default,False,,False,True
coml/mmsulab,aai,3,default;excluded;all,False,,False,False
sundram1996/mms_ulab_v2,aai,1,default,False,,False,True
nordpolemil/biblenlp-corpus,aai,1,default,False,,False,True
HuggingFaceFW/fineweb-2,aak,1870,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abi_Latn;abk_Cyrl;abn_Latn;abq_Cyrl;abs_Latn;abt_Latn;abx_Latn;aby_Latn;abz_Latn;aca_Latn,False,aak_Latn,True,False
HuggingFaceFW/finepdfs,aak,1733,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn,False,aak_Latn,True,False
lbourdois/language_tags,aak,1,language,False,,False,False
lbourdois/panlex,aak,1,panlex,False,,False,True
davidstap/biblenlp-corpus-mmteb,aak,828,eng-aai;eng-aak;eng-aau;eng-aaz;eng-abt;eng-abx;eng-aby;eng-acf;eng-acr;eng-acu;eng-adz;eng-aer;eng-aey;eng-agd;eng-agg,False,,False,False
mteb/biblenlp-corpus-mmteb,aak,829,default;eng_Latn-zac_Latn;eng_Latn-lit_Latn;eng_Latn-cgc_Latn;eng_Latn-guh_Latn;eng_Latn-ckb_Arab;eng_Latn-cop_Copt;eng_Latn-lif_Deva;eng_Latn-cwe_Latn;eng_Latn-kwj_Latn;eng_Latn-srp_Latn;eng_Latn-qvn_Latn;eng_Latn-tsw_Latn;eng_Latn-wro_Latn;eng_Latn-tod_Latn,False,,False,False
pei39/Taxi1500-RawData-test,aak,960,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn,False,aak_Latn,True,False
cis-lmu/Taxi1500-RawData,aak,960,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;abt_Latn;abx_Latn;aby_Latn;acf_Latn;acr_Latn;acu_Latn;adt_Latn;adz_Latn;aer_Latn;aey_Latn;agd_Latn,False,aak_Latn,True,False
openbmb/DCAD-2000,aak,2262,tha_Thai;aze_Latn;arb_Arab;slv_Latn;cat_Latn;fin_Latn;hbs_Latn;ces_Latn;fil_Latn;guj_Gujr;nob_Latn;mal_Mlym;bul_Cyrl;kan_Knda;hin_Deva,False,aak_Latn,True,False
ec5ug/chikhapo,aak,5506,nna_eng;crs_eng;dnr_eng;bys_eng;kmw_eng;ldn_eng;hay_eng;kgp_eng;byr_eng;cub_eng;ruf_eng;ndg_eng;amt_eng;bcq_eng;bmi_eng,False,aak_eng,True,False
KefranAbg/finepdfs,aak,1733,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abk_Cyrl;abq_Cyrl;abs_Latn;acm_Arab;acr_Latn;acu_Latn;ady_Cyrl;adz_Latn;aeb_Arab;aer_Latn,False,aak_Latn,True,False
caoyuji/fineweb-2,aak,1870,aai_Latn;aak_Latn;aau_Latn;aaz_Latn;aba_Latn;abi_Latn;abk_Cyrl;abn_Latn;abq_Cyrl;abs_Latn;abt_Latn;abx_Latn;aby_Latn;abz_Latn;aca_Latn,False,aak_Latn,True,False
lgi2p/finefreq,aak,1,default,False,,False,True
mteb/biblenlp-corpus,aak,828,eng-aai;eng-aak;eng-aau;eng-aaz;eng-abt;eng-abx;eng-aby;eng-acf;eng-acr;eng-acu;eng-adz;eng-aer;eng-aey;eng-agd;eng-agg,False,,False,False
nordpolemil/biblenlp-corpus,aak,1,default,False,,False,True
openfoodfacts/product-database,aa,1,default,False,
rubend18/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
google/smol,aa,423,smolsent__en_chn;smolsent__ru_ce;smolsent__en_es;smolsent__en_dje;smolsent__en_hac;smolsent__en_glk;smolsent__en_ckb;smolsent__en_is;smolsent__en_qu;smolsent__en_lij;smolsent__en_ay;smolsent__en_gn;smolsent__en_bo;smolsent__en_brx;smolsent__en_pa-Arab,False,,False,False
YuRiVeRTi/V1Q,aa,1,default,False,,False,True
philosopher-from-god/ChatGPT-Jailbreak-Prompts-rubend18,aa,1,default,False,,False,True
lifuguan/InsScene-15K,aa,1,default,False,,False,True
sarulab-speech/yodas2_sidon,aa,223,aa000;ab000;af000;ak000;am000;ar000;as000;ay000;az000;ba000;be000;bg000;bh000;bi000;bm000,False,,False,False
VanshTiwari15/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
Tman9099/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
RAED1ax/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
XxXNebuCHADnezzarXxx/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
kaustubhvanshiv/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
HentaiLovers911/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
xrachelburns/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
azadbaba332/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
sgfgmyu5555/ChatGPT-Jailbreak-Prompts,aa,1,default,False,,False,True
quranlab/quran,aa,195,arabic-uthmani;arabic-simple-clean;en-pickthall;en-yusufali;tr-elmalili;aa-sheikhmahmoudab;ace-tgkhmahjiddinju;af-imammabaker;am-muhammedsadiqan;as-shaykhrafeequli;az-alikhanmusayev;az-khanmusayev;az-vasimmammadaliy;bg-tzvetantheophan;bm-fodisulimankant,False,aa-sheikhmahmoudab,True,False
jiaheillu/sovits_audio_preview,aa,1,default,False,,False,True
zhangxuri/test,aa,1,default,False,,False,True
neurlang/ipa-lexicon-4v0-7M,aae,1,default,False,,False,True
