dataset_id,resolved,native_or_converted,main_branch_extensions
armand0e/claude-fable-5-claude-code,True,auto_converted,.gitattributes;.jsonl;.md
bigfacing/GOKU-2M,True,auto_converted,.gitattributes;.md;.png;.tar
schema-harness/arc-agi-3-schema-traces,True,auto_converted,.csv;.gitattributes;.gitignore;.json;.jsonl;.md;.png;.py;.txt
roneneldan/TinyStories,True,native,.gitattributes;.gz;.md;.npy;.parquet;.txt;.yaml
nvidia/Open-SWE-Traces,True,native,.gitattributes;.json;.md;.parquet
ByteDance-Seed/EdgeBench,True,auto_converted,.gitattributes;.jpg;.json;.jsonl;.md;.png;.svg;.yaml
Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset,True,native,.gitattributes;.graphml;.gz;.json;.jsonl;.md;.parquet;.png;.txt
HuggingFaceFW/fineweb,True,native,.csv;.gitattributes;.md;.parquet;.py
netflix/Vera-Layered-Video-Dataset,True,auto_converted,.gitattributes;.jsonl;.md;.mp4
CMRobot/MotionDecode,True,auto_converted,.csv;.gitattributes;.jpg;.md;.png;.rar
kyutai/rocket-science,True,auto_converted,.gitattributes;.json;.md;.tar
HuggingFaceFW/fineweb-edu,True,native,.gitattributes;.md;.parquet
AletheiaResearch/GLM-5.2-Agent,True,auto_converted,.gitattributes;.jsonl;.md
ProCreations/grug-think,True,auto_converted,.gitattributes;.jsonl;.md;.py
yatin-superintelligence/blood-pathology-lims-environment,True,auto_converted,.dockerignore;.gitattributes;.gitignore;.lock;.md;.py;.toml;.txt;.yaml
t-tech/TRuST,True,native,.gitattributes;.jsonl;.md;.parquet;.pkl;.py;.tsv;.txt
codeparrot/github-code,True,native,.gitattributes;.md;.parquet;.png;.py;.sql
scholarweave/arxiv-latex,True,native,.gitattributes;.md;.parquet;.xml
SupraLabs/Prompt-Routing-Dataset,True,auto_converted,.gitattributes;.jsonl;.md
uv-scripts/ocr,True,auto_converted,.cast;.gif;.gitattributes;.json;.md;.py
bones-studio/seed,True,native,.bvh;.csv;.gitattributes;.gz;.jsonl;.md;.npz;.parquet;.usd
MCG-NJU/VideoChat3-Academic2M,True,auto_converted,.gitattributes;.jpg;.json;.jsonl;.md;.tar
t-tech/SynthComp,True,native,.gitattributes;.jsonl;.md;.parquet;.pkl;.py;.tsv;.txt
gclef-cmu/multtipop,True,auto_converted,.gitattributes;.json;.md;.mid;.png
openai/gdpval,True,native,.docx;.gitattributes;.ipynb;.jpg;.md;.mp3;.mp4;.overpassql;.pages;.parquet;.pdf;.png;.pptx;.psd;.py;.step;.txt;.wav;.webp;.xlsx;.yaml;.zip
nvidia/PhysicalAI-Robotics-Locomanipulation-GRAIL,True,auto_converted,.ckpt;.gif;.gitattributes;.gitkeep;.jpg;.md;.mp4;.npy;.npz;.pkl;.png;.pt;.pth;.tar;.usd;.yaml;.yml
WithinUsAI/claude_mythos_distilled_25k,True,auto_converted,.gitattributes;.jsonl;.md
openbmb/UltraData-SFT-2605,True,auto_converted,.gitattributes;.jsonl;.md;.png
prathoshap/vagdhenu-data,True,auto_converted,.csv;.ds_store;.gitattributes;.md;.wav
yatin-superintelligence/digital-hospital-environment,True,auto_converted,.dockerignore;.gitattributes;.gitignore;.jpeg;.json;.md;.py;.sh;.txt
ai-sage/TimeGround-1M,True,auto_converted,.gitattributes;.md;.wav
davanstrien/commoncrawl-jobs-demo,True,auto_converted,.gitattributes;.gz;.json;.md;.py
simon3000/genshin-voice,True,native,.gitattributes;.json;.md;.parquet
trillionlabs/TheBioCollection,True,auto_converted,.gitattributes;.md;.png;.zst
SupraLabs/reasoning-summaries-61k,True,auto_converted,.gitattributes;.jsonl;.md
MCG-NJU/VideoChat3-OL617k,True,auto_converted,.gitattributes;.jpg;.json;.jsonl;.md
vypivshiy/habr,True,native,.gitattributes;.md;.parquet
openai/gsm8k,True,native,.gitattributes;.md;.parquet;.yaml
cais/hle,True,native,.gitattributes;.md;.parquet;.yaml
allenai/olmOCR-bench,True,auto_converted,.ds_store;.gitattributes;.gitignore;.jsonl;.md;.pdf;.yaml
nvidia/PhysicalAI-Autonomous-Vehicles,True,native,.csv;.gitattributes;.md;.parquet;.pdf;.zip
ScaleAI/SWE-bench_Pro,True,native,.gitattributes;.md;.parquet;.yaml
mercor/apex-agents,True,auto_converted,.docx;.ds_store;.gitattributes;.html;.json;.md;.pdf;.png;.pptx;.xlsx;.yaml;.zip
nvidia/Nemotron-SFT-Agentic-v2,True,auto_converted,.gitattributes;.gitignore;.jsonl;.md
Jackrong/GLM-5.1-Reasoning-1M-Cleaned,True,auto_converted,.gitattributes;.json;.jsonl;.md;.png
datacurve/deep-swe,True,native,.gitattributes;.gitignore;.json;.md;.parquet;.patch;.sh;.toml;.yaml
RekaAI/CS2-10k,True,native,.avif;.gitattributes;.md;.mp4;.parquet;.png;.tar
rl-llm-wiki/knowledge-base,True,auto_converted,.gitattributes;.json;.md;.py;.svg;.yaml
precisionaiinc/AgriStress-500,True,auto_converted,.gitattributes;.json;.md;.png
MCG-NJU/VideoChat3-LV116k,True,auto_converted,.gitattributes;.jpg;.json;.jsonl;.md;.mkv;.mp4;.tar
SupraLabs/agentic-reasoning-trace-summaries-40k,True,auto_converted,.gitattributes;.jsonl;.md
apple/hat,True,native,.gitattributes;.md;.parquet
MCG-NJU/TimeLens2-93K,True,auto_converted,.gitattributes;.jsonl;.md;.png;.svg;.tar
dronefreak/UAVid-2020,True,auto_converted,.gitattributes;.jpg;.md;.png;.txt;.yaml
ianncity/GLM-5.2-Science,True,auto_converted,.gitattributes;.jsonl;.md;.webp
averoo/low_resource_parallel_corpora,True,native,.gitattributes;.md;.parquet
deepset/prompt-injections,True,native,.gitattributes;.md;.parquet;.txt
gaia-benchmark/GAIA,True,native,.csv;.docx;.gitattributes;.jpg;.json;.jsonld;.m4a;.md;.mov;.mp3;.parquet;.pdb;.pdf;.png;.pptx;.py;.txt;.xlsx;.xml;.zip
bigcode/the-stack-v2,True,native,.csv;.gitattributes;.md;.parquet
nvidia/PhysicalAI-Autonomous-Vehicles-NuRec,True,auto_converted,.csv;.gitattributes;.gitignore;.md;.mp4;.pdf;.usdz
UCSC-VLAA/GPT-Image-Edit-1.5M,True,auto_converted,.gitattributes;.md;.part001;.part002;.part003;.part004;.part005;.part006;.part007;.part008;.part009;.part010;.part011;.part012;.part013;.part014;.part015;.part016;.part017;.part018;.part019;.part020;.part021;.part022;.part023;.part024;.part025;.part026;.part027;.part028;.part029;.part030;.part031;.part032;.part033;.part034;.part035;.part036;.part037;.part038;.part039;.part040;.part041;.part042;.part043;.part044;.part045;.part046;.part047;.part048;.part049;.part050;.part051;.part052;.part053;.part054;.part055;.part056;.part057;.part058;.part059;.part060;.part061;.part062;.part063;.part064;.part065;.part066;.part067;.part068;.part069;.part070;.part071;.part072;.part073;.part074;.part075;.part076;.part077;.part078;.part079;.part080;.part081;.part082;.part083;.part084;.part085;.part086;.part087;.part088;.part089;.part090;.part091;.part092;.part093;.part094;.part095;.part096;.part097;.part098;.part099;.part100;.part101;.part102;.part103;.part104;.part105;.part106;.part107;.part108;.part109;.part110;.part111;.part112;.part113;.part114;.part115;.part116;.part117;.part118;.part119;.part120;.part121;.part122;.part123;.part124;.part125;.part126;.part127;.part128;.part129;.part130;.part131;.part132;.part133;.part134;.part135;.part136;.part137;.part138;.part139;.part140;.part141;.part142;.part143;.part144;.part145;.part146;.part147;.part148;.part149;.part150;.part151;.part152;.part153;.part154;.part155;.part156;.part157;.part158;.part159;.part160;.part161;.part162;.part163;.part164;.part165;.part166;.part167;.part168;.part169;.part170;.part171;.part172;.part173;.part174;.part175;.sh
nvidia/Nemotron-CC-Math-v1,True,native,.gitattributes;.md;.parquet
databricks/officeqa,True,auto_converted,.csv;.gitattributes;.gitignore;.hfignore;.json;.md;.pdf;.py;.txt;.zip
openbmb/UltraData-Math,True,native,.gitattributes;.md;.parquet;.png
nebius/SWE-rebench-V2,True,native,.gitattributes;.md;.parquet
alibayram/identity_finetune_magibu_q3,True,native,.gitattributes;.md;.parquet
allenai/dolma3.5_pool,True,auto_converted,.gitattributes;.gz;.md
llamaindex/ParseBench,True,auto_converted,.gitattributes;.gitignore;.jpg;.jsonl;.md;.pdf;.png;.yaml
paperinstruments/diligence-bench,True,auto_converted,.gitattributes;.jsonl;.md
angrygiraffe/claude-opus-4.6-4.7-reasoning-8.7k,True,auto_converted,.gitattributes;.jsonl;.md
CodeDevX/Vibe-Coding-Instruct,True,auto_converted,.gitattributes;.jsonl;.md
jumplander/JL-AgentBehavior-10K,True,auto_converted,.cff;.gitattributes;.json;.jsonl;.md;.py;.sha256
jumplander/JumpForge-Agentic-SE-3K,True,auto_converted,.csv;.gitattributes;.gitignore;.json;.jsonl;.md;.py;.toml;.txt
choucsan/SIS-Motion-54K,True,auto_converted,.ds_store;.gitattributes;.gitkeep;.jpeg;.jsonl;.md;.webp
ianncity/GLM-5.2-Conversation,True,auto_converted,.gitattributes;.jsonl;.md;.webp
IntelligenceLab/Long-Horizon-Terminal-Bench,True,auto_converted,.bin;.bsp;.c;.cdl;.cfg;.chd;.csv;.dcm;.def;.dis;.drn;.egg-info/pkg-info;.game;.gds;.geojson;.gitattributes;.gitignore;.gitkeep;.ic;.ims;.inp;.json;.jsonl;.lef;.lib;.lock;.lydrc;.lylvs;.lyp;.lyt;.md;.mk;.nam;.npf;.npy;.oc;.out;.pdb;.png;.py;.rch;.rpt;.rules;.sdc;.sh;.sok;.sto;.sv;.svh;.tcl;.tdis;.tif;.tlef;.tls;.toml;.tpc;.txt;.v;.wel;.yaml;.yml;.zip
ianncity/GLM-5.2-Logic-Puzzles,True,auto_converted,.gitattributes;.jsonl;.md;.webp
ProCreations/grug-think-v3-10k,True,auto_converted,.gitattributes;.json;.jsonl;.md;.py
greghavens/fable-5-coding-and-debugging-traces,True,auto_converted,.gitattributes;.jsonl;.md
microsoft/RESOURCE2SKILL,True,auto_converted,.cff;.css;.gitattributes;.jpg;.json;.md;.png;.py;.txt;.yaml
hotpotqa/hotpot_qa,True,native,.gitattributes;.md;.parquet
MLCommons/peoples_speech,True,native,.gitattributes;.gitignore;.json;.md;.parquet
ShapeNet/ShapeNetCore,True,auto_converted,.gitattributes;.md;.zip
fka/prompts.chat,True,auto_converted,.csv;.gitattributes;.md
open-web-math/open-web-math,True,native,.gitattributes;.gitignore;.md;.parquet;.png
Idavidrein/gpqa,True,auto_converted,.csv;.gitattributes;.md;.txt;.yaml
McAuley-Lab/Amazon-Reviews-2023,True,native,.csv;.gitattributes;.json;.jsonl;.md;.parquet;.py;.txt
microsoft/orca-math-word-problems-200k,True,native,.gitattributes;.md;.parquet
Team-ACE/ToolACE,True,auto_converted,.gitattributes;.json;.md
amphion/Emilia-Dataset,True,auto_converted,.gitattributes;.md;.tar
mlabonne/open-perfectblend,True,native,.gitattributes;.md;.parquet
Josephgflowers/Finance-Instruct-500k,True,auto_converted,.gitattributes;.json;.md
SWE-bench/SWE-bench_Verified,True,native,.gitattributes;.md;.parquet;.yaml
SWE-bench/SWE-smith-trajectories,True,native,.gitattributes;.md;.parquet
BestWishYsh/OpenS2V-5M,True,auto_converted,.000;.001;.002;.003;.004;.005;.006;.007;.008;.009;.010;.011;.012;.013;.014;.015;.016;.017;.018;.019;.020;.021;.022;.023;.024;.025;.026;.027;.028;.029;.030;.031;.032;.033;.034;.035;.036;.037;.038;.039;.040;.041;.042;.043;.044;.045;.046;.047;.048;.049;.050;.051;.052;.053;.054;.055;.056;.057;.058;.059;.060;.061;.062;.063;.064;.065;.066;.067;.068;.069;.070;.071;.072;.073;.074;.075;.076;.077;.078;.079;.080;.081;.082;.083;.084;.085;.086;.087;.088;.089;.090;.091;.092;.093;.094;.095;.096;.097;.098;.099;.100;.101;.102;.103;.104;.105;.106;.107;.108;.109;.110;.111;.112;.113;.114;.115;.116;.117;.118;.119;.120;.121;.122;.123;.124;.125;.126;.127;.128;.129;.130;.131;.132;.133;.134;.135;.136;.137;.138;.139;.140;.141;.142;.143;.144;.145;.146;.147;.148;.149;.150;.151;.152;.153;.154;.155;.156;.157;.158;.159;.160;.161;.162;.163;.164;.165;.166;.167;.168;.169;.170;.171;.172;.173;.gitattributes;.json;.md;.png;.tar;.zip
common-pile/arxiv_papers_filtered,True,auto_converted,.gitattributes;.gz;.md
nvidia/Nemotron-Personas-USA,True,native,.gitattributes;.md;.parquet;.png
allenai/WildChat-4.8M,True,native,.gitattributes;.md;.parquet
openai/healthbench,True,auto_converted,.gitattributes;.jsonl;.md
ASLP-lab/WSC-Train,True,auto_converted,.gitattributes;.jsonl;.md;.zip
AST-FRI/EnterpriseBench,True,auto_converted,.csv;.gitattributes;.json;.jsonl;.md;.pdf
xiaowu0162/longmemeval-cleaned,True,auto_converted,.gitattributes;.json;.md
nebius/SWE-rebench-openhands-trajectories,True,native,.gitattributes;.json;.md;.parquet;.toml
tokyotech-llm/swallow-code-v2,True,auto_converted,.gitattributes;.jsonl;.md;.png;.sh
openai/ih-challenge,True,auto_converted,.gitattributes;.jsonl;.md
google/WaxalNLP,True,native,.gitattributes;.json;.md;.parquet
karpathy/tinystories-gpt4-clean,True,native,.gitattributes;.md;.parquet;.py
langswap/dialogs-ru-emotional-conversations,True,native,.csv;.gitattributes;.md;.parquet;.wav
karpathy/climbmix-400b-shuffle,True,native,.gitattributes;.md;.parquet
Forgis/FactoryNet,True,native,.gitattributes;.md;.parquet
nvidia/Retrieval-Synthetic-NVDocs-v1,True,native,.1-70b-instruct;.1-8b-instruct-pb24h2;.com_publication_2017-12_sim-real-transfer-accurate-grasping-eye-hand-observations-and-continuous;.com_publication_2021-02_mavirec-ml-aided-vectored-ir-drop-estimation-and-classification;.com_publication_2022-05_matbuilder-mastering-sampling-uniformity-over-projections;.com_publication_2022-08_time-multiplexed-neural-holography-flexible-framework-holographic-near-eye;.com_publication_2024-07_simplicits-mesh-free-geometry-agnostic-elastic-simulation;.gitattributes;.json;.md;.parquet;.txt
InternScience/ResearchClawBench,True,auto_converted,.allx;.ally;.cpg;.csv;.dat;.dbf;.f90;.fa;.fasta;.geojson;.gitattributes;.gitkeep;.gpkg;.graph;.h5;.h5ad;.html;.index;.ipynb;.jpeg;.jpg;.json;.jsonl;.mat;.md;.nc;.npy;.npz;.pdb;.pdf;.pickle;.png;.prj;.pt;.py;.sdf;.shp;.shx;.svg;.tex;.tsv;.tx;.txt;.ty;.webp;.x;.xlsx;.xyz;.y;.yaml
nvidia/Nemotron-Personas-Korea,True,native,.ds_store;.gitattributes;.md;.parquet;.png
SALT-NLP/SWE-chat,True,native,.gitattributes;.jsonl;.md;.parquet
stady4d-anon/StaDy4D,True,native,.gif;.gitattributes;.json;.md;.mp4;.parquet;.safetensors
nvidia/PhysicalAI-WorldModel-Synthetic-Digital-Human-Scenes,True,auto_converted,.gif;.gitattributes;.md;.tar
Banaxi-Tech/Deepseek-V4-Reasoning-Code-2500,True,auto_converted,.csv;.gitattributes;.md
ouou123/Holo360D,True,auto_converted,.bin;.gitattributes;.gitkeep;.jpg;.md;.mp4;.part1;.part2;.part3;.ply;.zip
jumplander/JumpTrace-1K,True,auto_converted,.gitattributes;.json;.md;.png
jumplander/JumpVuln-10K,True,auto_converted,.gitattributes;.json;.md
jumplander/AIForge-1K-Debug,True,auto_converted,.gitattributes;.json;.jsonl;.md
jumplander/AIForge-1K-Review,True,auto_converted,.gitattributes;.json;.jsonl;.md
jumplander/AIForge-1K-Security,True,auto_converted,.gitattributes;.json;.jsonl;.md
jumplander/AIForge-1K-Architecture,True,auto_converted,.gitattributes;.json;.jsonl;.md
Neptune615/Wild-City,True,auto_converted,.gitattributes;.md;.zst
Fsoft-AIC/RobotDesign1M,True,native,.gitattributes;.md;.parquet
LiquidAI/ifstruct-v1.0,True,native,.gitattributes;.md;.parquet;.yaml
jingwei-xu-00/eccv2026-cad-challenge-data,True,auto_converted,.csv;.dxf;.gitattributes;.gitignore;.json;.jsonl;.md;.pdf;.png;.py;.step;.svg;.txt;.zip
shreyan35/Project-Axiom-1.0-Opus4.7-Kimi2.6-GLM5.2-Deepseek4-Mythos5-Fable5-Qwen3.7,True,auto_converted,.gitattributes;.jsonl;.md
HelioAI/Claude-Fable-5-5500x,True,auto_converted,.gitattributes;.jsonl;.md
strickvl/gtmo-military-commissions,True,native,.csv;.gitattributes;.json;.md;.parquet;.pdf
QuixiAI/QuixiMath-1B,True,native,.gitattributes;.json;.md;.parquet
YuCrazing1/ClothTransformer-dataset,True,auto_converted,.gitattributes;.md;.mp4;.npz;.obj;.py;.sc
inclusionAI/OpenAoE-2000h,True,auto_converted,.gitattributes;.json;.md;.mp4;.npz;.png
jumplander/J6-CFI-HQ-20K,True,auto_converted,.gitattributes;.json;.jsonl;.md
Voxel51/VineLiDAR,True,auto_converted,.gif;.gitattributes;.json;.md;.pcd;.yml
ProCreations/grug-think-v2-10k,True,auto_converted,.gitattributes;.json;.jsonl;.md;.py
LeCAR-Lab/Wanda,True,native,.bak_pre_alias;.gitattributes;.json;.jsonl;.log;.md;.mp4;.parquet
Raymvp12/focusmil-camelyon16,True,auto_converted,.gitattributes;.gz;.h5;.md;.npy;.sha256
Merserk/Krea-2-Turbo-Checkpoint-Format-Benchmark,True,auto_converted,.cff;.csv;.example;.gitattributes;.gitignore;.json;.jsonl;.md;.npy;.npz;.png;.ps1;.py;.sh;.txt
AofaYu71/LatentSkill,True,auto_converted,.gitattributes;.json;.jsonl;.md
trannhiem/TranNhiem-Vietnamese-ImageText-Reasoning,True,native,.gif;.gitattributes;.jsonl;.md;.parquet;.tar
trannhiem/TranNhiem-Vietnamese-DocumentImage-Reasoning,True,native,.gif;.gitattributes;.jsonl;.md;.parquet;.tar
open-alchemy/code-alchemy,True,native,.gitattributes;.md;.parquet
Crownelius/GPT-5.6-Sol-Luna-Terra-Traces,True,native,.gitattributes;.md;.parquet;.png;.svg
open-thoughts/OpenThoughts-114k,True,native,.gitattributes;.md;.parquet;.png
Rowan/hellaswag,True,native,.gitattributes;.md;.parquet
ylecun/mnist,True,native,.gitattributes;.md;.parquet
ILSVRC/imagenet-1k,True,native,.gitattributes;.md;.parquet;.py
mrmoor/cyber-threat-intelligence,True,auto_converted,.gitattributes;.jsonl;.md
tarteel-ai/everyayah,True,native,.gitattributes;.md;.parquet
lucasmccabe/logiqa,True,auto_converted,.gitattributes;.md;.py
nlphuji/flickr30k,True,auto_converted,.csv;.gitattributes;.md;.py;.zip
nguha/legalbench,True,auto_converted,.ds_store;.gitattributes;.gitignore;.ipynb;.json;.md;.tsv
andersonbcdefg/combined_en_wikipedia,True,auto_converted,.gitattributes;.jsonl;.md
x1101/nsfw-full,True,auto_converted,.gitattributes;.zip
mstz/higgs,True,auto_converted,.csv;.gitattributes;.md;.py
databricks/databricks-dolly-15k,True,auto_converted,.gitattributes;.jsonl;.md
rubend18/ChatGPT-Jailbreak-Prompts,True,auto_converted,.csv;.gitattributes;.html;.md
maharshipandya/spotify-tracks-dataset,True,auto_converted,.csv;.gitattributes;.md
lmsys/mt_bench_human_judgments,True,native,.gitattributes;.md;.parquet
lmsys/chatbot_arena_conversations,True,native,.gitattributes;.md;.parquet
evanarlian/imagenet_1k_resized_256,True,native,.gitattributes;.md;.parquet
Ichsan2895/alpaca-gpt4-indonesian,True,auto_converted,.csv;.gitattributes;.md
teknium/openhermes,True,auto_converted,.gitattributes;.json;.md
a686d380/h-corpus-2023,True,auto_converted,.gitattributes;.md;.zip
emozilla/Long-Data-Collections-Pretrain-Without-Books,True,native,.gitattributes;.md;.parquet
HuggingFaceH4/no_robots,True,native,.gitattributes;.md;.parquet
Gourieff/ReActor,True,auto_converted,.gitattributes;.gitkeep;.json;.md;.onnx;.pt;.pth;.zip
kimrichies/English-Luganda_Bible_corpus,True,auto_converted,.gitattributes;.md;.txt
zai-org/LongAlign-10k,True,auto_converted,.gitattributes;.jsonl;.md
CohereLabs/aya_dataset,True,native,.gitattributes;.md;.parquet;.png
ibrahimhamamci/CT-RATE,True,auto_converted,
MedRAG/wikipedia,True,auto_converted,.gitattributes;.jsonl;.md
MathLLMs/MathVision,True,native,.gitattributes;.md;.parquet;.yaml;.zip
internlm/Agent-FLAN,True,auto_converted,.gitattributes;.jsonl;.md
ai4privacy/pii-masking-300k,True,auto_converted,.gitattributes;.json;.jsonl;.md;.png
allenai/WildChat-1M,True,native,.gitattributes;.md;.parquet
TIGER-Lab/MMLU-Pro,True,native,.gitattributes;.md;.parquet;.py;.yaml
joshuachou/SkinCAP,True,auto_converted,.csv;.ds_store;.gitattributes;.md;.png;.xlsx
sarahwei/cyber_MITRE_attack_tactics-and-techniques,True,auto_converted,.csv;.gitattributes;.md
JailbreakBench/JBB-Behaviors,True,auto_converted,.csv;.gitattributes;.jpg;.md;.png;.py;.txt
walledai/CyberSecEval,True,native,.gitattributes;.md;.parquet
yanchaoz/EMNeuron,True,auto_converted,.gitattributes;.md;.rar
deepseek-ai/DeepSeek-Prover-V1,True,auto_converted,.gitattributes;.jsonl;.md
jackyhate/text-to-image-2M,True,auto_converted,.gitattributes;.md;.tar
sweatSmile/FinanceQA,True,native,.gitattributes;.md;.parquet
polymathic-ai/supernova_explosion_64,True,auto_converted,.gif;.gitattributes;.hdf5;.ipynb;.md;.yaml
eltorio/ROCOv2-radiology,True,native,.gitattributes;.ipynb;.md;.parquet
PleIAs/common_corpus,True,native,.gitattributes;.gitkeep;.md;.parquet;.png;.svg;.webp
MohamedRashad/Al-Maktabah-Al-Shamilah,True,native,.gitattributes;.md;.parquet
HuggingFaceTB/smol-smoltalk,True,native,.gitattributes;.md;.parquet
unsloth/LaTeX_OCR,True,native,.gitattributes;.md;.parquet
HuggingFaceTB/finemath,True,native,.gitattributes;.md;.parquet;.png;.txt
defeatbeta/yahoo-finance-data,True,native,.gitattributes;.gitignore;.json;.md;.parquet
opendatalab/OmniDocBench,True,auto_converted,.gitattributes;.jpg;.json;.md;.png
HuggingFaceFW/fineweb-2,True,native,.csv;.gitattributes;.md;.parquet
bespokelabs/Bespoke-Stratos-17k,True,native,.gitattributes;.md;.parquet;.png
wasmdashai/LAHJA-API-Data,True,native,.gitattributes;.md;.parquet
agentica-org/DeepScaleR-Preview-Dataset,True,auto_converted,.gitattributes;.json;.md
WenhaoWang/VideoUFO,True,native,.csv;.gitattributes;.md;.parquet;.png;.tar
IPEC-COMMUNITY/bridge_orig_lerobot,True,native,.gitattributes;.json;.jsonl;.md;.mp4;.parquet
panlr/teochew_wild,True,auto_converted,.csv;.ds_store;.gitattributes;.jpg;.jsonl;.md;.txt;.zip
BytedTsinghua-SIA/DAPO-Math-17k,True,native,.gitattributes;.md;.parquet
nvidia/Nemotron-ClimbMix,True,native,.gitattributes;.gitignore;.jpg;.jsonl;.md;.parquet;.png;.py;.sh
